ticker,from,reason_shortlist,shortlist_details,price,market_cap,sector,industry,forward_pe,peg,revenue_growth,earnings_growth,operating_margin,roe,debt_to_equity,free_cashflow,analyst_recommendation,analyst_score,analyst_count,analyst_target_mean,short_float,short_ratio,currency,financial_currency,instrument_type,price_as_of,fcf_yield,analyst_upside,next_earnings_date,earnings_date_start,earnings_date_end,earnings_date_status,days_to_earnings,next_eps_estimate,next_revenue_estimate,eps_estimate_period,eps_consensus_current,eps_consensus_30d_ago,eps_revision_30d,eps_revisions_up_30d,eps_revisions_down_30d,missing_fields,yahoo_fetched_at,yahoo_status,yahoo_errors,return_1d,return_5d,return_20d,median_dollar_volume_20,relative_volume_20,pct_relative_volume,atr14_pct,rv20,vol_expansion,pct_vol_expansion,normalized_move_1d,pct_normalized_move,distance_sma20,stretch_atr,pct_stretch_atr,breakout_direction,breakout_strength,bb_width_percentile_60,technical_source,technical_as_of,technical_status
META,"[""community""]","[""all-stocks #8 38 mentions 166 upvotes; options #1 6 mentions 104 upvotes""]","[{""from"": ""community"", ""Rank"": ""1"", ""Ticker"": ""META"", ""Name"": ""Meta Platforms (Facebook)"", ""Best source rank"": ""1"", ""Source details"": ""all-stocks #8 38 mentions 166 upvotes; options #1 6 mentions 104 upvotes""}]",661.66,1685582905344,Communication Services,Internet Content & Information,18.926384,0.8574,0.28,-0.134,0.34827,0.29848,0.42997,21553625088,strong_buy,1.33871,57,758.2758,0.013099999,1.77,USD,USD,EQUITY,2026-09-14T16:17:39+00:00,0.012787045371465283,0.1460203125472297,2026-10-28,2026-10-28,2026-10-28,estimated,44,6.53036,63315198780,0q,6.53036,6.76256,-0.034336109402356464,7,33,[],2026-09-14T16:17:41.166705+00:00,ok,{},0.005610261424214835,0.061063077225388174,0.08929982348491228,303070544.71500003,0.9256486310013556,0.4500542888165038,0.03146971089931416,0.022562245659865695,1.197926459883144,0.8854505971769815,0.17728036990332094,0.249728555917481,0.09905937003256324,3.1477686703096497,0.8854505971769815,none,0.0,0.6666666666666666,stage1_screen,2026-09-11,ok
SPY,"[""community""]","[""all-stocks #1 107 mentions 425 upvotes""]","[{""from"": ""community"", ""Rank"": ""2"", ""Ticker"": ""SPY"", ""Name"": ""SPDR S&amp;P 500 ETF Trust"", ""Best source rank"": ""1"", ""Source details"": ""all-stocks #1 107 mentions 425 upvotes""}]",762.16,,,,,,,,,,,,,,,,,,USD,USD,ETF,2026-09-14T16:17:39+00:00,,,,,,,,,,0q,,,,,,"[""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-14T16:17:42.025786+00:00,partial,{},0.008273186694288004,-0.011608880955614631,-0.017612876684151013,959117160.085,1.0317412745332628,0.5602605863192183,0.006985443953800518,0.005360349949546663,0.9955162837417725,0.6834961997828447,1.174628663187475,0.9104234527687296,-0.004423600387363633,0.6332597350461767,0.23941368078175895,none,0.0,0.13333333333333333,stage1_screen,2026-09-11,ok
DTE,"[""community""]","[""all-stocks #11 29 mentions 127 upvotes; options #2 5 mentions 21 upvotes""]","[{""from"": ""community"", ""Rank"": ""3"", ""Ticker"": ""DTE"", ""Name"": ""DTE Energy"", ""Best source rank"": ""2"", ""Source details"": ""all-stocks #11 29 mentions 127 upvotes; options #2 5 mentions 21 upvotes""}]",132.0,27467624448,Utilities,Utilities - Regulated Electric,15.779565,1.7032,-0.015,0.224,0.13623999,0.1103,2.2906,-2596624896,buy,1.94118,14,156.85715,0.0271,3.79,USD,USD,EQUITY,2026-09-14T16:17:37+00:00,-0.09453401770931334,0.18831174242424242,2026-10-29,2026-10-29,2026-10-29,estimated,45,2.40395,3437875010,0q,2.40395,2.47395,-0.0282948321510135,3,3,[],2026-09-14T16:17:42.895532+00:00,ok,{},-0.013614045528939078,-0.032472270869818964,-0.04967029816513768,6274064.81,1.4843153270491622,0.8148751357220413,0.013713057438074399,0.008573540488485307,0.9384858392275408,0.6167209554831705,1.0064820271066506,0.8648208469055375,-0.03484991326646042,2.541367118444308,0.7877307274701412,bearish,0.976232567275588,0.1,stage1_screen,2026-09-11,ok
MU,"[""community""]","[""all-stocks #2 90 mentions 319 upvotes; options #26 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""4"", ""Ticker"": ""MU"", ""Name"": ""Micron Technology"", ""Best source rank"": ""2"", ""Source details"": ""all-stocks #2 90 mentions 319 upvotes; options #26 1 mentions 1 upvotes""}]",919.6,1038589886464,Technology,Semiconductors,5.892376,0.1433,3.457,13.685,0.80370003,0.66638,0.0633,7639499776,strong_buy,1.34694,45,1513.1111,0.026400002,0.95,USD,USD,EQUITY,2026-09-14T16:17:42+00:00,0.007355646223370772,0.6454013701609396,2026-09-30,2026-09-30,2026-09-30,estimated,16,31.33121,50787211780,0q,31.33121,31.34925,-0.0005754523632942644,0,2,[],2026-09-14T16:17:43.687346+00:00,ok,{},-0.005456566748600178,0.017525369785824196,0.026560970217604174,548731219.5525,0.8248191070682531,0.3463626492942454,0.0451508532283206,0.03298622674318345,1.087131596907562,0.7969598262757872,0.12151496223950994,0.18186753528773072,0.014358745590286288,0.31801714837317513,0.1243213897937025,none,0.0,0.0,stage1_screen,2026-09-11,ok
GOOG,"[""community""]","[""all-stocks #1 32 mentions 147 upvotes; options #3 4 mentions 104 upvotes""]","[{""from"": ""community"", ""Rank"": ""5"", ""Ticker"": ""GOOG"", ""Name"": ""Alphabet (Google)"", ""Best source rank"": ""3"", ""Source details"": ""all-stocks #1 32 mentions 147 upvotes; options #3 4 mentions 104 upvotes""}]",342.705,4191259721728,Communication Services,Internet Content & Information,23.040804,1.1988,0.242,2.94,0.34033,0.48676,0.18859,22665000960,strong_buy,1.37097,15,422.336,,2.58,USD,USD,EQUITY,2026-09-14T16:17:42+00:00,0.005407682287619133,0.2323601931690522,2026-10-28,2026-10-28,2026-10-28,estimated,44,3.00752,127227149560,0q,3.00752,2.99803,0.003165411953849694,16,16,"[""short_float""]",2026-09-14T16:17:44.464497+00:00,partial,{},0.014980479980631234,-0.010955631902564322,-0.02491641226922514,209055222.36,0.5692571908105946,0.08523344191096634,0.01964722319245543,0.010992662011773246,1.1574813500975012,0.8599348534201955,0.7512195121951216,0.757328990228013,-0.009159013656151257,0.46617344173441955,0.18458197611292074,none,0.0,0.03333333333333333,stage1_screen,2026-09-11,ok
QQQ,"[""community""]","[""all-stocks #3 87 mentions 290 upvotes""]","[{""from"": ""community"", ""Rank"": ""6"", ""Ticker"": ""QQQ"", ""Name"": ""Invesco QQQ ETF"", ""Best source rank"": ""3"", ""Source details"": ""all-stocks #3 87 mentions 290 upvotes""}]",710.5379,,,,,,,,,,,,,,,,,,USD,USD,ETF,2026-09-14T16:17:43+00:00,,,,,,,,,,0q,,,,,,"[""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-14T16:17:46.399804+00:00,partial,{},0.008691603290392536,-0.003880586616504589,-0.023521055579079686,371834226.5,0.9599844659596884,0.48805646036916395,0.010533588584057917,0.00776496365450151,0.8133700023343405,0.46308360477741584,0.8180222907279991,0.7899022801302932,-0.002331477569975771,0.2213374436803381,0.09174809989142237,none,0.0,0.08333333333333333,stage1_screen,2026-09-11,ok
GOOGL,"[""community""]","[""all-stocks #15 27 mentions 38 upvotes; options #4 3 mentions 2 upvotes""]","[{""from"": ""community"", ""Rank"": ""7"", ""Ticker"": ""GOOGL"", ""Name"": ""Alphabet (Google)"", ""Best source rank"": ""4"", ""Source details"": ""all-stocks #15 27 mentions 38 upvotes; options #4 3 mentions 2 upvotes""}]",346.025,4231863205888,Communication Services,Internet Content & Information,23.264015,1.2097,0.242,2.94,0.34033,0.48676,0.18859,22665000960,strong_buy,1.36508,54,428.06668,0.013200001,3.01,USD,USD,EQUITY,2026-09-14T16:17:45+00:00,0.0053557971648197575,0.2370975507550035,2026-10-28,2026-10-28,2026-10-28,estimated,44,3.00872,127227149560,0q,3.00872,3.00182,0.0022986055126556246,18,18,[],2026-09-14T16:17:46.197681+00:00,ok,{},0.01734451558601613,-0.011536551885277024,-0.022838169481738224,219934460.775,0.9028782960585884,0.4191096634093377,0.02036550053185198,0.011934073109453913,1.1743008912633295,0.8724212812160695,0.8371418208197309,0.8023887079261672,-0.008819879446873933,0.43307943416757644,0.16883821932681867,none,0.0,0.05,stage1_screen,2026-09-11,ok
NVDA,"[""community""]","[""all-stocks #4 61 mentions 267 upvotes; options #14 1 mentions 3 upvotes""]","[{""from"": ""community"", ""Rank"": ""8"", ""Ticker"": ""NVDA"", ""Name"": ""NVIDIA"", ""Best source rank"": ""4"", ""Source details"": ""all-stocks #4 61 mentions 267 upvotes; options #14 1 mentions 3 upvotes""}]",212.07,5120854065152,Technology,Semiconductors,13.581268,0.4637,1.059,1.278,0.66236997,1.17211,0.16971,41809874944,strong_buy,1.29508,58,327.17758,0.0128999995,2.33,USD,USD,EQUITY,2026-09-14T16:17:46+00:00,0.008164629261458748,0.5427810628566039,2026-11-17,2026-11-17,2026-11-17,estimated,64,2.47269,108988683310,0q,2.47269,2.34527,0.05433063144115597,35,1,[],2026-09-14T16:17:48.196921+00:00,ok,{},-0.000915876722993203,-0.04537498906099591,-0.03190450834220815,697836442.4,0.5301631475929505,0.06568946796959826,0.035149522980113784,0.026946282147545554,0.42913090429040596,0.08849077090119435,0.02608047690015127,0.04017372421281216,-0.01089746527936942,0.3100316691505252,0.12160694896851248,none,0.0,0.1,stage1_screen,2026-09-11,ok
AGI,"[""community""]","[""all-stocks #5 47 mentions 1324 upvotes; options #5 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""9"", ""Ticker"": ""AGI"", ""Name"": ""Alamos Gold"", ""Best source rank"": ""5"", ""Source details"": ""all-stocks #5 47 mentions 1324 upvotes; options #5 1 mentions 1 upvotes""}]",35.515,14866738176,Basic Materials,Gold,11.619917,,0.356,0.688,0.66538,0.27413,0.04502,128937504,strong_buy,1.38462,4,46.25,,1.52,USD,USD,EQUITY,2026-09-14T16:17:40+00:00,0.008672884561063248,0.3022666478952556,2026-10-28,2026-10-28,2026-10-28,estimated,44,0.58297,535632610,0q,0.58297,0.66879,-0.12832129667010572,3,2,"[""peg"", ""short_float""]",2026-09-14T16:17:48.397938+00:00,partial,{},0.007291082445316954,-0.04746751524794479,0.09328869274083118,10135882.1,1.0495628124302132,0.5711183496199783,0.03786191536748329,0.031955339457332935,0.557528120461919,0.1791530944625407,0.19117647058823908,0.2671009771986971,-0.008456291759465502,0.22334558823529477,0.09337676438653637,none,0.0,0.25,stage1_screen,2026-09-11,ok
ATAI,"[""community""]","[""options #5 2 mentions 16 upvotes""]","[{""from"": ""community"", ""Rank"": ""10"", ""Ticker"": ""ATAI"", ""Name"": ""Atai Life Sciences"", ""Best source rank"": ""5"", ""Source details"": ""options #5 2 mentions 16 upvotes""}]",7.35,2725855232,Healthcare,Biotechnology,-15.313776,,1.37,,-25.90434,-4.17207,0.02429,-74669752,hold,2.84615,6,8.11667,0.061100002,2.84,USD,USD,EQUITY,2026-09-10T20:00:01+00:00,-0.02739314660713427,0.10430884353741487,2026-11-12,2026-11-12,2026-11-12,estimated,59,-0.11964,218180,0q,-0.11964,-0.10955,-0.0921040620721132,0,2,"[""peg"", ""earnings_growth"", ""return_1d"", ""return_5d"", ""return_20d"", ""median_dollar_volume_20"", ""relative_volume_20"", ""pct_relative_volume"", ""atr14_pct"", ""rv20"", ""vol_expansion"", ""pct_vol_expansion"", ""normalized_move_1d"", ""pct_normalized_move"", ""distance_sma20"", ""stretch_atr"", ""pct_stretch_atr"", ""breakout_direction"", ""breakout_strength"", ""bb_width_percentile_60""]",2026-09-14T16:17:49.906487+00:00,partial,{},,,,,,,,,,,,,,,,,,,stage1_screen,2026-09-10,stale
